City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hualmay,PE,-11.0964,-77.6139,68.99,71,61,7.7,broken clouds
80,Castro,BR,-24.7911,-50.0119,71.38,70,99,7.81,overcast clouds
81,Klaksvik,FO,62.2266,-6.589,49.12,87,3,21.41,clear sky
82,Cape Town,ZA,-33.9258,18.4232,72.12,74,0,18.41,clear sky
83,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,12.66,broken clouds
84,Valley City,US,46.9233,-98.0032,43.79,100,1,18.41,clear sky
85,Linares,CL,-35.85,-71.6,80.47,27,0,7.81,clear sky
86,Bluff,NZ,-46.6,168.3333,51.87,90,4,1.86,clear sky
87,Tucuman,AR,-26.8241,-65.2226,91.4,24,0,6.91,clear sky
88,Butaritari,KI,3.0707,172.7902,82.11,72,100,10.09,overcast clouds
89,Pampas,PE,-12.4,-74.9,59.41,53,97,7.38,overcast clouds
90,Saldanha,ZA,-33.0117,17.9442,71.65,80,2,9.28,clear sky
91,Mount Gambier,AU,-37.8333,140.7667,48.11,100,90,19.57,moderate rain
92,Clyde River,CA,70.4692,-68.5914,34.03,93,90,12.66,light snow
93,Pevek,RU,69.7008,170.3133,2.48,95,99,2.21,overcast clouds
94,Pirojpur,BD,22.5667,89.9833,75.24,77,100,5.01,overcast clouds
95,Urusha,RU,54.05,122.9,31.33,81,100,2.95,overcast clouds
96,Kruisfontein,ZA,-34.0033,24.7314,67.89,86,100,15.99,light rain
97,New Norfolk,AU,-42.7826,147.0587,49.66,83,100,3.0,light rain
98,Bredasdorp,ZA,-34.5322,20.0403,72.72,53,0,8.05,clear sky
99,Provideniya,RU,64.3833,-173.3,12.0,88,99,4.97,overcast clouds
100,Cherskiy,RU,68.75,161.3,-18.63,95,55,4.03,broken clouds
101,Tura,IN,25.5198,90.2201,67.77,91,0,3.98,clear sky
102,Kungurtug,RU,50.5994,97.5228,31.19,80,91,1.1,overcast clouds
103,Walvis Bay,NA,-22.9575,14.5053,68.09,66,55,17.22,broken clouds
104,Dunmore Town,BS,25.5,-76.65,80.62,80,98,11.95,overcast clouds
105,High Level,CA,58.5169,-117.136,32.11,100,90,5.75,light rain
106,Laizhou,CN,37.1717,119.9214,56.68,43,100,5.28,overcast clouds
107,Yala,TH,6.3333,101.25,75.25,96,100,2.3,overcast clouds
108,Faya,SA,18.3851,42.4509,66.31,70,10,6.35,clear sky
109,Wanning,CN,18.8003,110.3967,76.06,94,100,8.5,overcast clouds
110,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,40,8.05,scattered clouds
111,Constitucion,CL,-35.3333,-72.4167,67.3,55,3,13.87,clear sky
112,Katsuura,JP,35.1333,140.3,63.19,62,43,20.22,scattered clouds
113,Kununurra,AU,-15.7667,128.7333,82.38,74,40,1.14,scattered clouds
114,Watertown,US,42.3709,-71.1828,50.02,76,90,1.99,overcast clouds
115,Saint George,US,37.1041,-113.5841,61.36,81,1,5.75,clear sky
116,Santa Rosa,PH,14.3122,121.1114,81.1,73,92,10.71,overcast clouds
117,Tiznit,MA,29.5833,-9.5,70.0,56,0,10.76,clear sky
118,Narasannapeta,IN,18.4167,84.05,77.58,80,100,10.58,overcast clouds
119,Lasa,IT,46.6166,10.7002,57.94,58,6,3.76,clear sky
120,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,75,18.41,broken clouds
121,Svetlogorsk,BY,52.6333,29.7333,49.15,94,93,6.24,overcast clouds
122,Malpe,IN,13.35,74.7167,81.7,74,91,4.14,overcast clouds
123,Dikson,RU,73.5069,80.5464,5.2,93,50,7.43,scattered clouds
124,Maple Creek,CA,49.9168,-109.4848,45.01,60,9,4.61,clear sky
125,Banda Aceh,ID,5.5577,95.3222,79.43,84,94,7.61,overcast clouds
126,Ostrovskoye,RU,57.8057,42.2433,37.67,88,100,9.04,overcast clouds
127,Nemuro,JP,43.3236,145.575,50.83,72,90,12.88,overcast clouds
128,Krasnyy Chikoy,RU,50.3643,108.7512,33.17,92,96,4.14,overcast clouds
129,Kurumkan,RU,54.3,110.3,29.61,83,96,6.62,overcast clouds
