City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
246,Mana,GF,86.79,broken clouds,5.6592,-53.7767,LE SAMANA
252,Ambilobe,MG,76.19,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
259,Jabinyanah,TN,75.0,clear sky,35.035,10.9081,maison belmabrouk
264,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
266,Aden,YE,85.62,clear sky,12.7794,45.0367,Sama Emirate Hotel
269,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
270,Basco,PH,79.16,broken clouds,20.4487,121.9702,Nathaniel's Lodge
273,Cabo San Lucas,MX,81.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
274,Jawhar,SO,77.97,moderate rain,2.7809,45.5005,hantiwadaag village part one
279,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
282,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
288,Ombessa,CM,75.16,moderate rain,4.603,11.2565,Hotel Elma**
293,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
294,Isangel,VU,75.33,clear sky,-19.55,169.2667,Tanna Lodge
295,Mumford,GH,81.34,few clouds,5.2618,-0.759,Spanish Villa
296,Hervey Bay,AU,75.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
300,El Jicaro,GT,87.33,scattered clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
301,Samarai,PG,81.79,broken clouds,-10.6167,150.6667,Nuli Sapi
312,Padang,ID,78.85,moderate rain,-0.9492,100.3543,Mercure Padang
314,Maningrida,AU,81.68,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
316,Sinait,PH,75.15,clear sky,17.8664,120.4583,Farmville Resort
317,Waingapu,ID,81.18,few clouds,-9.6567,120.2641,Pondok Wisata Elim
318,Odweyne,SO,76.03,clear sky,9.4092,45.064,Eng Hiirey House
323,Bitung,ID,77.85,light rain,1.4451,125.1824,K2 Lembeh
330,Puerto Leguizamo,CO,85.46,overcast clouds,-0.1934,-74.7819,la casona de juancho
335,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
339,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
344,Tumaco,CO,80.71,light rain,1.7986,-78.8156,Dafneruben
352,Iquitos,PE,80.64,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
356,Omboue,GA,79.7,overcast clouds,-1.5746,9.2618,Hotel Olako
357,Kokopo,PG,77.54,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
359,Namatanai,PG,80.15,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
360,Pedernales,DO,86.34,clear sky,18.0384,-71.744,Hotel Costa Marina
362,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
363,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
377,Santarem,BR,86.13,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
383,Suez,EG,79.54,overcast clouds,29.9737,32.5263,Green House
391,Kattivakkam,IN,80.69,moderate rain,13.2167,80.3167,Euronova Freezer
392,Lobito,AO,75.96,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
396,Hit,IQ,76.55,scattered clouds,33.6416,42.8251,صالون زيرو
397,Dakar,SN,88.68,dust,14.6937,-17.4441,Redface Studios Meublés
398,Sabang,ID,82.22,broken clouds,5.8933,95.3214,Hotel Citra
403,Acari,PE,79.47,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
412,Morondava,MG,77.09,clear sky,-20.2833,44.2833,La Case Bambou
417,Catia La Mar,VE,86.2,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
429,Kisaran,ID,75.27,light rain,2.9845,99.6158,Penginapan Batubara1
430,Lubango,AO,82.26,light rain,-14.9172,13.4925,Hotel Serra da Chela
434,Awbari,LY,81.61,broken clouds,26.5921,12.7805,فندق أوباري
441,Bluefields,NI,80.67,few clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
458,Poum,NC,75.07,few clouds,-20.2333,164.0167,Gîte kajeon
459,Sharjah,AE,85.98,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
466,Kutum,SD,82.8,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
473,Manacapuru,BR,82.98,light rain,-3.2997,-60.6206,Novo Hotel
478,Morant Bay,JM,88.63,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
482,Harper,LR,81.73,light rain,4.375,-7.7169,Screensaver
483,Jalu,LY,79.11,broken clouds,29.0331,21.5482,صاحبة الفخامة
488,El Vigia,VE,84.34,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
